Time,wfv_1,wfv_2,wfv_3,Hour,Day,Month
2022-03-24 06:00:00,26.60351334,22.16398757,22.81263084,6,24,3
2022-03-24 06:15:00,26.60084359,22.16250479,22.81117169,6,24,3
2022-03-24 06:30:00,26.59950865,22.16102195,22.81117169,6,24,3
2022-03-24 06:45:00,26.59950865,22.16102195,22.80971248,6,24,3
2022-03-24 07:00:00,26.59817367,22.15953906,22.876782,7,24,3
2022-03-24 07:15:00,26.59683865,22.15805612,22.87532514,7,24,3
2022-03-24 07:30:00,26.64220684,22.15657312,22.6151695,7,24,3
2022-03-24 07:45:00,26.25240061,22.15657312,22.87386822,7,24,3
2022-03-24 08:00:00,26.40015327,21.8947043,22.61370324,8,24,3
2022-03-24 08:15:00,26.39881229,22.22473439,22.61370324,8,24,3
2022-03-24 08:30:00,26.24836407,22.22325386,22.80095613,8,24,3
2022-03-24 08:45:00,26.39747126,22.22325386,22.80095613,8,24,3
2022-03-24 09:00:00,26.39747126,21.96331333,22.60930412,9,24,3
2022-03-24 09:15:00,26.44572268,21.96331333,22.86804006,9,24,3
2022-03-24 09:30:00,26.44438307,21.96331333,22.86658288,9,24,3
2022-03-24 09:45:00,26.44438307,21.96182309,22.60783764,9,24,3
2022-03-24 10:00:00,26.29543415,21.96182309,22.67670489,10,24,3
2022-03-24 10:15:00,26.29408999,21.96033279,22.67670489,10,24,3
2022-03-24 10:30:00,26.44170373,21.96033279,23.38064716,10,24,3
2022-03-24 10:45:00,26.29408999,21.96033279,22.67524085,10,24,3
2022-03-24 11:00:00,26.44170373,21.96033279,23.57303184,11,24,3
2022-03-24 11:15:00,26.19854964,21.96033279,23.61025693,11,24,3
2022-03-24 11:30:00,26.24836407,22.03180449,22.67524085,11,24,3
2022-03-24 11:45:00,26.24836407,22.03180449,22.67524085,11,24,3
2022-03-24 12:00:00,26.24836407,22.03180449,22.7439939,12,24,3
2022-03-24 12:15:00,26.09875157,22.03180449,22.7439939,12,24,3
2022-03-24 12:30:00,26.1001017,22.03180449,22.7439939,12,24,3
2022-03-24 12:45:00,26.24970963,22.03180449,22.74545547,12,24,3
